Date,Agent Name,District,Area,Province,NLB Sales Ticket,DLB Sales Ticket,Total Sales Ticket,NLB LKR,DLB LKR,Total LKR
4/24/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4896,1217,6113,195840,48680,244520
4/25/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4168,459,4627,166720,18360,185080
4/26/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5322,5386,10708,212880,215440,428320
4/27/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8551,105,8656,342040,4200,346240
4/28/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5073,9711,14784,202920,388440,591360
4/29/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8789,5850,14639,351560,234000,585560
4/30/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9152,2807,11959,366080,112280,478360
5/1/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2250,3775,6025,90000,151000,241000
5/2/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3772,7513,11285,150880,300520,451400
5/3/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,948,1804,2752,37920,72160,110080
5/4/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5417,9450,14867,216680,378000,594680
5/5/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8279,8205,16484,331160,328200,659360
5/6/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8395,4609,13004,335800,184360,520160
5/7/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7093,4380,11473,283720,175200,458920
5/8/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5211,1509,6720,208440,60360,268800
5/9/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7662,4639,12301,306480,185560,492040
5/10/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3291,4432,7723,131640,177280,308920
5/11/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8833,6691,15524,353320,267640,620960
5/12/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6643,232,6875,265720,9280,275000
5/13/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8324,2729,11053,332960,109160,442120
5/14/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,558,4720,5278,22320,188800,211120
5/15/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6791,927,7718,271640,37080,308720
5/16/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3843,2086,5929,153720,83440,237160
5/17/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2254,6342,8596,90160,253680,343840
5/18/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5169,7038,12207,206760,281520,488280
5/19/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7802,1385,9187,312080,55400,367480
5/20/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1216,8977,10193,48640,359080,407720
5/21/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,726,6067,6793,29040,242680,271720
5/22/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7178,225,7403,287120,9000,296120
5/24/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3687,8280,11967,147480,331200,478680
5/25/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8063,799,8862,322520,31960,354480
5/26/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1509,9490,10999,60360,379600,439960
5/27/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2945,1157,4102,117800,46280,164080
5/28/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9232,6687,15919,369280,267480,636760
5/29/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1906,1023,2929,76240,40920,117160
5/30/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7736,9895,17631,309440,395800,705240
5/31/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2063,7153,9216,82520,286120,368640
6/1/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2145,2979,5124,85800,119160,204960
6/2/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,644,2158,2802,25760,86320,112080
6/3/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1007,9797,10804,40280,391880,432160
6/4/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2927,9255,12182,117080,370200,487280
6/5/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1372,938,2310,54880,37520,92400
6/6/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4998,9232,14230,199920,369280,569200
6/7/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6286,203,6489,251440,8120,259560
6/8/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6406,2730,9136,256240,109200,365440
6/9/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3199,7915,11114,127960,316600,444560
6/10/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2109,577,2686,84360,23080,107440
6/11/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,275,9350,9625,11000,374000,385000
6/12/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1893,8696,10589,75720,347840,423560
6/13/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3011,7816,10827,120440,312640,433080
6/14/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7249,5546,12795,289960,221840,511800
6/15/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3510,7381,10891,140400,295240,435640
6/16/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9525,6052,15577,381000,242080,623080
6/17/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6007,584,6591,240280,23360,263640
6/18/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2457,2417,4874,98280,96680,194960
6/19/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8288,2434,10722,331520,97360,428880
6/20/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,322,7540,7862,12880,301600,314480
6/21/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2208,9066,11274,88320,362640,450960
6/22/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2009,69,2078,80360,2760,83120
6/23/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3826,9326,13152,153040,373040,526080
6/24/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5635,4125,9760,225400,165000,390400
6/25/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,714,49,763,28560,1960,30520
6/26/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4013,2466,6479,160520,98640,259160
6/27/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8529,752,9281,341160,30080,371240
6/28/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4996,4386,9382,199840,175440,375280
6/29/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5614,9582,15196,224560,383280,607840
6/30/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,600,8930,9530,24000,357200,381200
7/1/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3175,5584,8759,127000,223360,350360
7/2/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4973,8828,13801,198920,353120,552040
7/3/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7320,7476,14796,292800,299040,591840
7/4/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1352,9574,10926,54080,382960,437040
7/5/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1355,3679,5034,54200,147160,201360
7/6/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9230,8887,18117,369200,355480,724680
7/7/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1028,1569,2597,41120,62760,103880
7/8/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2154,5237,7391,86160,209480,295640
7/9/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3300,4792,8092,132000,191680,323680
7/10/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9649,4479,14128,385960,179160,565120
7/11/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4431,5789,10220,177240,231560,408800
7/12/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3809,1307,5116,152360,52280,204640
7/13/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,605,4929,5534,24200,197160,221360
7/14/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2639,5019,7658,105560,200760,306320
7/15/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1905,1732,3637,76200,69280,145480
7/16/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2016,1104,3120,80640,44160,124800
7/17/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1910,9778,11688,76400,391120,467520
7/18/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7554,4046,11600,302160,161840,464000
7/19/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1218,3973,5191,48720,158920,207640
7/20/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3845,9714,13559,153800,388560,542360
7/21/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4009,730,4739,160360,29200,189560
7/22/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4503,969,5472,180120,38760,218880
7/23/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8707,5140,13847,348280,205600,553880
7/24/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7258,1306,8564,290320,52240,342560
7/25/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8953,4610,13563,358120,184400,542520
7/26/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5891,4956,10847,235640,198240,433880
7/27/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4456,728,5184,178240,29120,207360
7/28/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3195,170,3365,127800,6800,134600
7/29/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7893,8243,16136,315720,329720,645440
7/30/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5284,3316,8600,211360,132640,344000
7/31/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2427,2993,5420,97080,119720,216800
8/1/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7212,3267,10479,288480,130680,419160
8/2/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3405,9326,12731,136200,373040,509240
8/3/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4781,2164,6945,191240,86560,277800
8/4/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6600,5597,12197,264000,223880,487880
8/5/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7398,1664,9062,295920,66560,362480
8/6/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9581,2229,11810,383240,89160,472400
8/7/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9066,7588,16654,362640,303520,666160
8/8/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3134,1181,4315,125360,47240,172600
8/9/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2267,3569,5836,90680,142760,233440
8/10/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3371,6512,9883,134840,260480,395320
8/11/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9064,8437,17501,362560,337480,700040
8/12/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,750,5752,6502,30000,230080,260080
8/13/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8715,4861,13576,348600,194440,543040
8/14/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3718,58,3776,148720,2320,151040
8/15/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1527,5496,7023,61080,219840,280920
8/16/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2880,7425,10305,115200,297000,412200
8/17/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2403,3314,5717,96120,132560,228680
8/18/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5753,3236,8989,230120,129440,359560
8/19/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4306,6024,10330,172240,240960,413200
8/20/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7936,233,8169,317440,9320,326760
8/21/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3027,2164,5191,121080,86560,207640
8/22/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7292,3895,11187,291680,155800,447480
8/23/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4415,7386,11801,176600,295440,472040
8/24/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5082,9190,14272,203280,367600,570880
8/25/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3996,8426,12422,159840,337040,496880
8/26/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7551,2091,9642,302040,83640,385680
8/27/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1629,7992,9621,65160,319680,384840
8/28/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6866,8415,15281,274640,336600,611240
8/29/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2676,826,3502,107040,33040,140080
8/30/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5883,9422,15305,235320,376880,612200
8/31/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,330,2492,2822,13200,99680,112880
9/1/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4246,6853,11099,169840,274120,443960
9/2/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3394,4123,7517,135760,164920,300680
9/3/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2497,3550,6047,99880,142000,241880
9/4/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7894,5911,13805,315760,236440,552200
9/5/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6271,663,6934,250840,26520,277360
9/6/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7776,2612,10388,311040,104480,415520
9/7/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3676,6002,9678,147040,240080,387120
9/8/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9575,8905,18480,383000,356200,739200
9/9/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7298,1935,9233,291920,77400,369320
9/10/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5446,680,6126,217840,27200,245040
9/11/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3951,4144,8095,158040,165760,323800
9/12/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5852,7099,12951,234080,283960,518040
9/13/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1944,5004,6948,77760,200160,277920
9/14/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3553,6977,10530,142120,279080,421200
9/15/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1544,3916,5460,61760,156640,218400
9/16/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6539,9205,15744,261560,368200,629760
9/17/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7056,7075,14131,282240,283000,565240
9/18/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,985,8691,9676,39400,347640,387040
9/19/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4278,7398,11676,171120,295920,467040
9/20/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3126,6652,9778,125040,266080,391120
9/21/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9239,9582,18821,369560,383280,752840
9/22/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3666,8413,12079,146640,336520,483160
9/23/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4772,2799,7571,190880,111960,302840
9/24/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5373,9582,14955,214920,383280,598200
9/25/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7339,5092,12431,293560,203680,497240
9/26/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5201,7787,12988,208040,311480,519520
9/27/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8621,3665,12286,344840,146600,491440
9/28/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7314,3319,10633,292560,132760,425320
9/29/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5476,2141,7617,219040,85640,304680
9/30/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,700,2702,3402,28000,108080,136080
10/1/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4186,7381,11567,167440,295240,462680
10/2/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9043,8053,17096,361720,322120,683840
10/3/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3380,4709,8089,135200,188360,323560
10/4/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8444,1855,10299,337760,74200,411960
10/5/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8702,4253,12955,348080,170120,518200
10/6/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7190,8272,15462,287600,330880,618480
10/7/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8072,5267,13339,322880,210680,533560
10/8/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3058,8196,11254,122320,327840,450160
10/9/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1869,7628,9497,74760,305120,379880
10/10/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8529,2176,10705,341160,87040,428200
10/11/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3968,9667,13635,158720,386680,545400
10/12/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8393,9201,17594,335720,368040,703760
10/13/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7956,8563,16519,318240,342520,660760
10/14/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6620,973,7593,264800,38920,303720
10/15/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,597,4328,4925,23880,173120,197000
10/16/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2983,3561,6544,119320,142440,261760
10/17/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6722,6511,13233,268880,260440,529320
10/18/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6746,2549,9295,269840,101960,371800
10/19/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5469,3295,8764,218760,131800,350560
10/20/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2968,401,3369,118720,16040,134760
10/21/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,151,4522,4673,6040,180880,186920
10/22/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7210,5205,12415,288400,208200,496600
10/23/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7921,7114,15035,316840,284560,601400
10/24/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1241,5086,6327,49640,203440,253080
10/25/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9601,7340,16941,384040,293600,677640
10/26/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8789,1065,9854,351560,42600,394160
10/27/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,723,8077,8800,28920,323080,352000
10/28/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1291,2483,3774,51640,99320,150960
10/29/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6426,3327,9753,257040,133080,390120
10/30/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1649,7714,9363,65960,308560,374520
10/31/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3037,9302,12339,121480,372080,493560
11/1/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,787,7105,7892,31480,284200,315680
11/2/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6968,4687,11655,278720,187480,466200
11/3/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9313,3032,12345,372520,121280,493800
11/4/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2789,2954,5743,111560,118160,229720
11/5/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6118,8133,14251,244720,325320,570040
11/6/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3983,5582,9565,159320,223280,382600
11/7/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8776,4225,13001,351040,169000,520040
11/8/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9550,7786,17336,382000,311440,693440
11/9/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8875,3264,12139,355000,130560,485560
11/10/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7655,3999,11654,306200,159960,466160
11/11/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8154,7324,15478,326160,292960,619120
11/12/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,406,8680,9086,16240,347200,363440
11/13/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1988,842,2830,79520,33680,113200
11/14/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4089,6541,10630,163560,261640,425200
11/15/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7520,1169,8689,300800,46760,347560
11/16/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7144,1556,8700,285760,62240,348000
11/17/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5134,1056,6190,205360,42240,247600
11/18/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4591,4521,9112,183640,180840,364480
11/19/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4475,1502,5977,179000,60080,239080
11/20/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3384,5832,9216,135360,233280,368640
11/21/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7739,4286,12025,309560,171440,481000
11/22/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,696,4945,5641,27840,197800,225640
11/23/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6454,2759,9213,258160,110360,368520
11/24/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1121,4570,5691,44840,182800,227640
11/25/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3634,4043,7677,145360,161720,307080
11/26/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9017,7927,16944,360680,317080,677760
11/27/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5098,8234,13332,203920,329360,533280
11/28/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2550,9305,11855,102000,372200,474200
11/29/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2490,3948,6438,99600,157920,257520
11/30/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8445,4978,13423,337800,199120,536920
12/1/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9377,91,9468,375080,3640,378720
12/2/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,8856,6549,15405,354240,261960,616200
12/3/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3353,1485,4838,134120,59400,193520
12/4/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4570,5360,9930,182800,214400,397200
12/5/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3925,4612,8537,157000,184480,341480
12/6/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,886,6159,7045,35440,246360,281800
12/7/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9247,8507,17754,369880,340280,710160
12/8/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7647,8565,16212,305880,342600,648480
12/9/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3538,4125,7663,141520,165000,306520
12/10/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4422,8285,12707,176880,331400,508280
12/11/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7369,9876,17245,294760,395040,689800
12/12/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1898,2893,4791,75920,115720,191640
12/13/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2441,8640,11081,97640,345600,443240
12/14/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2101,1285,3386,84040,51400,135440
12/15/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7360,778,8138,294400,31120,325520
12/16/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5684,9347,15031,227360,373880,601240
12/17/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3567,4669,8236,142680,186760,329440
12/18/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9677,4512,14189,387080,180480,567560
12/19/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2197,3346,5543,87880,133840,221720
12/20/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3868,7953,11821,154720,318120,472840
12/21/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2335,3119,5454,93400,124760,218160
12/22/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6049,765,6814,241960,30600,272560
12/23/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2088,4696,6784,83520,187840,271360
12/24/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1325,5323,6648,53000,212920,265920
12/25/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5634,5283,10917,225360,211320,436680
12/26/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,5750,5700,11450,230000,228000,458000
12/27/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1024,9927,10951,40960,397080,438040
12/28/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6744,5609,12353,269760,224360,494120
12/29/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9497,8760,18257,379880,350400,730280
